MSOA21CD,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Works mainly from home,"Works mainly at an offshore installation, in no fixed place, or outside the UK"
E02002483,100,7.2,19.2,10.4,18.4,7,1.6,1,2.5,18.2,14.4
E02002484,100,15.3,20.4,6.9,17.6,5,1.7,0.7,2.1,13.8,16.7
E02002485,100,25.6,16.7,5.8,16,5.2,1.3,0.7,1.6,13.2,14
E02002489,100,28,12.9,4.4,14.3,4.4,1.6,1.2,1.9,15.9,15.4
E02002490,100,27,16,5.2,13.2,3.6,1.3,0.7,1,14.1,18
E02002491,100,19.4,26.3,5.6,13.3,3.3,1.5,1.1,1.7,12.2,15.4
E02002492,100,17.7,23,8.7,11.9,3.6,1.1,1.2,2.1,14.3,16.3
E02002493,100,8.3,22,11.7,14.2,4,1.6,1.3,1.7,20.5,14.6
E02002494,100,10.3,31.1,12,10.6,3.3,1.2,0.7,1.4,10.6,18.7
E02006909,100,5.9,18.5,12,15,4.9,1.9,0.9,1.9,25,14
E02007059,100,24,11.7,4.7,14.8,4.9,1.5,0.9,1.9,21,14.6
E02002496,100,21.8,18,11.5,6.8,2.6,2.3,1.3,2.1,14.5,18.9
E02002497,100,16.9,26.7,15.4,5.8,2.9,2.9,1.2,1.6,9.9,16.6
E02002498,100,20.3,24,9.2,6.5,2.4,5,1.4,2.3,10.7,18.2
E02002499,100,25,24.6,15.3,5.1,2.3,1.3,1.3,2.5,7.4,15.2
E02002500,100,20.7,21.6,10.3,5.7,2.3,1.1,1.3,1.4,19.9,15.7
E02002501,100,27.9,18.3,12.1,4.8,2.5,1.3,0.9,1.1,14.4,16.7
E02002502,100,13.7,29.1,18.9,5.2,2.8,0.8,1,2.1,9.5,17
E02002503,100,14.2,32.6,11.5,6,1.6,1.1,1.1,1.9,14.2,15.7
E02002504,100,13,27.7,9.9,5.9,2.4,1.2,1,1.7,20.7,16.5
E02002505,100,20.2,27.5,15.7,4.7,1.9,1.1,1.1,1.7,9.2,16.8
E02002506,100,29.1,25.7,10.8,3.8,2.1,1.3,0.8,1.9,9.9,14.8
E02002507,100,9.7,29.3,11.1,5.9,2.6,1.3,1.4,1.7,21.8,15.2
E02002508,100,5.6,30.4,13.6,6.5,2,1.5,1.2,2.2,21.2,15.7
E02002509,100,19,23.6,16.1,5.5,2.7,0.5,0.9,2.1,13.7,16
E02002510,100,4,26,17.2,9.3,1.7,1.6,1.6,2.2,21.2,15.3
E02002512,100,4.6,16.1,24.1,7.1,2.6,1.4,1.1,2,25.9,15.1
E02002513,100,7.8,17.2,24.9,9.3,3,1.1,1.2,1.6,17,16.7
E02002514,100,8.6,15.3,24.3,8.3,3.3,0.9,1,1.8,19.5,16.9
E02006811,100,6.5,16.4,22.6,8.5,3.1,1.1,1.4,2,24.4,14
E02002515,100,20.1,8.4,12,19.9,0.8,2.2,1.1,2.1,17.4,15.9
E02002516,100,20.6,7.8,11,21.2,1.6,2.5,1,1.5,15.4,17.3
E02002517,100,15,11.7,14.5,18,1.6,1.2,1.2,1.5,15.8,19.4
E02002518,100,9.4,11.2,11.5,24,1,2.5,1.5,2.1,22.2,14.7
E02002519,100,11.9,14.2,14.1,21.3,1.5,2.2,1.4,2.1,14.4,16.8
E02002520,100,5.4,13.2,12.1,22.8,2.7,2.5,1.3,2.6,21.8,15.5
E02002521,100,8.5,4.8,12.9,20.7,4.7,1.3,1.6,2.9,28.3,14.3
E02002523,100,11.6,18.7,28.5,8.8,1.7,1.6,1.1,2.6,8.8,16.6
E02002524,100,10.3,10.3,12.8,20.7,9.7,0.9,2.6,2.2,14.3,16.2
E02002525,100,7,18,26.4,9.3,2.3,1.2,1.2,1.9,14.2,18.6
E02002526,100,10.3,8,14.8,19.9,6.2,2.3,1.4,2.1,18,17
E02002527,100,11.9,10.9,8.8,20,14.9,1.2,3,2.6,11.9,14.9
E02002529,100,6.1,19.5,25.4,7.2,2.4,1.2,1.2,2.8,15.3,18.8
E02002530,100,5,10.4,9.8,21.4,10.6,2,1.9,2.5,17.4,19
E02002532,100,15.5,1.2,18.9,22.7,1.4,2.4,1.6,1.9,17.7,16.7
E02002533,100,9.4,2.8,19.3,21.6,1.6,2.1,1.9,2.3,23.2,15.7
