MSOA21CD,Total: All usual residents aged 16 years and over,No qualifications,Level 1 and entry level qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications or above,Other qualifications
E02002483,100,17.2,8.2,14.6,7.8,21.3,28.6,2.4
E02002484,100,29.9,10.9,15.5,6.3,16.2,18.8,2.4
E02002485,100,27.8,10.9,15.1,6.9,18.2,18.9,2.3
E02002489,100,25.9,11.2,14.7,5.6,18,22.4,2.1
E02002490,100,27.9,10.3,15.6,7.2,16.6,19.9,2.5
E02002491,100,27.9,10.3,16.1,6.7,17.8,18.6,2.7
E02002492,100,25,10.7,15.2,7,19,20.7,2.5
E02002493,100,18,7.5,13.1,8.2,20.5,29.5,3.1
E02002494,100,29.5,11.4,16.6,6,16.7,17.3,2.6
E02006909,100,15.5,7.3,13.2,7.7,18.7,35.1,2.5
E02007059,100,19.5,8.2,13.8,6.7,18.9,30.6,2.4
E02002496,100,25.9,9,10.3,3.3,18.3,29.9,3.2
E02002497,100,33.6,10.1,15,6.1,14.9,17.8,2.5
E02002498,100,32.5,10.5,10,4.9,12.5,26,3.5
E02002499,100,31.5,11.7,16.3,6.3,16,15.7,2.4
E02002500,100,23.6,9.5,12.6,5.5,17.8,28.7,2.4
E02002501,100,28.3,10.6,13.4,6.3,16.4,22.6,2.4
E02002502,100,33.9,11.3,15.4,6.6,14.7,15.6,2.5
E02002503,100,26.6,11.3,14.5,5.7,17.1,22.2,2.7
E02002504,100,19.1,8.9,12.7,5.5,17.7,33.4,2.8
E02002505,100,33.2,12,16.7,4.9,16.4,14.2,2.6
E02002506,100,27.8,12.8,14.7,5.9,16.7,19.2,2.9
E02002507,100,15.2,9,14.7,6.7,19.5,32.6,2.4
E02002508,100,18.5,8.4,13.2,7.5,19.2,30.7,2.4
E02002509,100,24.3,9.8,14.4,7.6,18.2,22.8,2.9
E02002510,100,17.6,8.9,12.3,8.4,21.2,29.2,2.4
E02002512,100,14,8,11.4,7.7,19.7,37.1,2.1
E02002513,100,22.1,10.1,14.4,6.9,17.8,26,2.7
