MSOA21CD,Total: All usual residents aged 16 years and over,% Total: All usual residents aged 16 years and over,Economically active (excluding full-time students),% Economically active (excluding full-time students),Economically active (excluding full-time students):In employment,% Economically active (excluding full-time students):In employment,Economically active (excluding full-time students): Unemployed,% Economically active (excluding full-time students): Unemployed,Economically active and a full-time student,% Economically active and a full-time student,Economically active and a full-time student:In employment,% Economically active and a full-time student:In employment,Economically active and a full-time student: Unemployed,% Economically active and a full-time student: Unemployed,Economically inactive,% Economically inactive
E02002483,8178,100,4987,61,4799,58.7,188,2.3,162,2,130,1.6,32,0.4,3029,37
E02002484,8121,100,3958,48.7,3540,43.6,418,5.1,140,1.7,95,1.2,45,0.6,4023,49.5
E02002485,6231,100,3133,50.3,2861,45.9,272,4.4,106,1.7,82,1.3,24,0.4,2992,48
E02002489,5762,100,2721,47.2,2420,42,301,5.2,127,2.2,84,1.5,43,0.7,2914,50.6
E02002490,4615,100,2357,51.1,2131,46.2,226,4.9,50,1.1,30,0.7,20,0.4,2208,47.8
E02002491,5124,100,2508,48.9,2329,45.5,179,3.5,93,1.8,65,1.3,28,0.5,2523,49.2
E02002492,5476,100,2927,53.5,2766,50.5,161,2.9,70,1.3,51,0.9,19,0.3,2479,45.3
E02002493,5689,100,3122,54.9,3014,53,108,1.9,109,1.9,85,1.5,24,0.4,2458,43.2
E02002494,5840,100,2879,49.3,2624,44.9,255,4.4,94,1.6,65,1.1,29,0.5,2867,49.1
E02006909,10826,100,6094,56.3,5893,54.4,201,1.9,158,1.5,109,1,49,0.5,4574,42.3
E02007059,8833,100,4808,54.4,4474,50.7,334,3.8,153,1.7,104,1.2,49,0.6,3872,43.8
E02002496,9749,100,3307,33.9,2830,29,477,4.9,1229,12.6,690,7.1,539,5.5,5213,53.5
E02002497,4641,100,2245,48.4,1947,42,298,6.4,161,3.5,94,2,67,1.4,2235,48.2
E02002498,6675,100,2708,40.6,2261,33.9,447,6.7,619,9.3,357,5.3,262,3.9,3348,50.2
E02002499,5643,100,2906,51.5,2655,47,251,4.4,121,2.1,81,1.4,40,0.7,2616,46.4
E02002500,4668,100,2448,52.4,2252,48.2,196,4.2,153,3.3,102,2.2,51,1.1,2067,44.3
E02002501,4717,100,2523,53.5,2316,49.1,207,4.4,70,1.5,58,1.2,12,0.3,2124,45
E02002502,7518,100,3621,48.2,3216,42.8,405,5.4,144,1.9,92,1.2,52,0.7,3753,49.9
E02002503,5078,100,2845,56,2620,51.6,225,4.4,93,1.8,71,1.4,22,0.4,2140,42.1
E02002504,7705,100,4303,55.8,4071,52.8,232,3,217,2.8,169,2.2,48,0.6,3185,41.3
E02002505,4682,100,2444,52.2,2207,47.1,237,5.1,100,2.1,67,1.4,33,0.7,2138,45.7
E02002506,4405,100,2031,46.1,1860,42.2,171,3.9,103,2.3,62,1.4,41,0.9,2271,51.6
E02002507,5060,100,3008,59.4,2869,56.7,139,2.7,112,2.2,90,1.8,22,0.4,1940,38.3
E02002508,4469,100,2462,55.1,2341,52.4,121,2.7,103,2.3,74,1.7,29,0.6,1904,42.6
E02002509,4119,100,2198,53.4,2030,49.3,168,4.1,82,2,60,1.5,22,0.5,1839,44.6
E02002510,5858,100,3371,57.5,3254,55.5,117,2,114,1.9,90,1.5,24,0.4,2373,40.5
E02002512,4474,100,2457,54.9,2394,53.5,63,1.4,84,1.9,64,1.4,20,0.4,1933,43.2
E02002513,8251,100,4363,52.9,4080,49.4,283,3.4,155,1.9,110,1.3,45,0.5,3733,45.2
E02002514,6942,100,3677,53,3507,50.5,170,2.4,151,2.2,98,1.4,53,0.8,3114,44.9
E02006811,9298,100,5327,57.3,5151,55.4,176,1.9,208,2.2,155,1.7,53,0.6,3763,40.5
E02002515,5460,100,2802,51.3,2523,46.2,279,5.1,95,1.7,67,1.2,28,0.5,2563,46.9
E02002516,4656,100,2599,55.8,2461,52.9,138,3,97,2.1,70,1.5,27,0.6,1960,42.1
