MSOA21CD,MSOA21NM,nca_name,overlap_percentage,overlap_type,total_employment,agri_soc_121,agri_soc_511,agri_soc_911,total_agri_employment,agri_percentage_121,agri_percentage_511,agri_percentage_911,total_agri_percentage,skill_matched_employment,skill_matched_percentage,C2021_OCC_105_NAME_top_1,C2021_OCC_105_NAME_top_2,C2021_OCC_105_NAME_top_3,C2021_OCC_105_NAME_top_4,C2021_OCC_105_NAME_top_5,OBS_VALUE_top_1,OBS_VALUE_top_2,OBS_VALUE_top_3,OBS_VALUE_top_4,OBS_VALUE_top_5,shannon_diversity,simpson_diversity,effective_occupations,top_1_concentration,top_3_concentration,top_5_concentration,hhi,occupations_over_1pct,occupations_over_2pct,occupations_over_5pct,dominance_ratio,concentration_category
E02005222,Lancaster 002,Bowland Fells,37.07581085333326,Partially Within,2808,45,228,41,314,1.6025641025641024,8.11965811965812,1.46011396011396,11.182336182336181,95,3.3831908831908835,511 Agricultural and Related Trades,231 Teaching and other Educational Professionals,112 Production Managers and Directors,113 Functional Managers and Directors,613 Caring Personal Services,228,110,105,104,100,4.090088357848355,0.9756954590465986,41.14457466681973,8.11965811965812,15.776353276353278,23.04131054131054,243.04540953401354,32,14,1,2.0727272727272728,Diverse
E02005270,Ribble Valley 001,Bowland Fells,28.05030989379768,Partially Within,3612,46,281,35,362,1.273532668881506,7.779623477297896,0.9689922480620154,10.022148394241418,131,3.6267995570321148,511 Agricultural and Related Trades,112 Production Managers and Directors,113 Functional Managers and Directors,231 Teaching and other Educational Professionals,125 Managers and Proprietors in Other Services,281,172,170,145,119,4.12747253495934,0.9761290039722397,41.89184225229101,7.779623477297896,17.248062015503876,24.55703211517165,238.70996027760302,31,13,1,1.6337209302325584,Diverse
E02005742,Craven 001,Bowland Fells,16.979558481694777,Partially Within,3585,27,260,39,326,0.7531380753138075,7.252440725244072,1.0878661087866108,9.093444909344491,162,4.518828451882846,511 Agricultural and Related Trades,531 Construction and Building Trades,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,231 Teaching and other Educational Professionals,260,181,161,154,126,4.097282405189643,0.9757787464816403,41.286054796544775,7.252440725244072,16.792189679218968,24.602510460251047,242.21253518359663,30,16,2,1.43646408839779,Diverse
E02005324,Wyre 006,Bowland Fells,14.853529105741417,Partially Within,3438,31,154,49,234,0.9016870273414777,4.47934845840605,1.4252472367655613,6.806282722513089,149,4.33391506689936,231 Teaching and other Educational Professionals,511 Agricultural and Related Trades,613 Caring Personal Services,113 Functional Managers and Directors,711 Sales Assistants and Retail Cashiers,184,154,130,128,126,4.17600090473132,0.9791579313567929,47.979882281307084,5.35194880744619,13.612565445026178,21.000581733566026,208.42068643207136,33,14,1,1.1948051948051948,Diverse
E02005239,Lancaster 019,Bowland Fells,25.74513078306439,Partially Within,3711,37,161,41,239,0.9970358393963892,4.338453247103207,1.1048234977095122,6.440312584209108,128,3.4492050660199407,231 Teaching and other Educational Professionals,711 Sales Assistants and Retail Cashiers,511 Agricultural and Related Trades,926 Other Elementary Services Occupations,613 Caring Personal Services,261,206,161,158,154,4.127395992137836,0.9763787166283231,42.33470232184961,7.033144704931285,16.922662355160334,25.33009970358394,236.21283371676955,33,10,2,1.2669902912621358,Diverse
E02005273,Ribble Valley 004,Bowland Fells,66.14843017433752,Partially Within,3014,22,142,25,189,0.7299270072992701,4.71134704711347,0.8294625082946251,6.2707365627073655,151,5.009953550099536,511 Agricultural and Related Trades,112 Production Managers and Directors,231 Teaching and other Educational Professionals,531 Construction and Building Trades,613 Caring Personal Services,142,135,132,110,105,4.186932095336591,0.979630778552114,49.093678055318364,4.71134704711347,13.570006635700066,20.703384207033842,203.69221447885977,29,15,0,1.0518518518518518,Diverse
E02005430,East Lindsey 007,Central Lincolnshire Vale,56.55713483325576,Partially Within,3013,66,171,80,317,2.190507799535347,5.675406571523399,2.6551609691337537,10.5210753401925,153,5.077995353468304,511 Agricultural and Related Trades,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,231 Teaching and other Educational Professionals,821 Road Transport Drivers,171,133,125,115,88,4.189615527229523,0.9794589635861592,48.683035259418155,5.675406571523399,14.238300696979756,20.975771656156656,205.4103641384072,30,14,1,1.2857142857142858,Diverse
E02005441,East Lindsey 018,Central Lincolnshire Vale,23.57580212957261,Partially Within,3642,50,165,100,315,1.3728720483250962,4.530477759472817,2.7457440966501925,8.649093904448106,216,5.930807248764415,613 Caring Personal Services,511 Agricultural and Related Trades,821 Road Transport Drivers,711 Sales Assistants and Retail Cashiers,531 Construction and Building Trades,218,165,158,143,120,4.150366713112076,0.9780400785153139,45.537503433122765,5.985722130697419,14.85447556287754,22.075782537067546,219.5992148468611,28,14,1,1.321212121212121,Diverse
E02005496,West Lindsey 005,Central Lincolnshire Vale,17.41108904223164,Partially Within,2964,67,109,50,226,2.260458839406208,3.6774628879892037,1.6869095816464237,7.624831309041835,152,5.128205128205128,613 Caring Personal Services,231 Teaching and other Educational Professionals,711 Sales Assistants and Retail Cashiers,511 Agricultural and Related Trades,821 Road Transport Drivers,134,115,110,109,109,4.195698575232784,0.9802062446160038,50.52098404775323,4.520917678812416,12.112010796221323,19.46693657219973,197.93755383996168,33,15,0,1.165217391304348,Diverse
E02005494,West Lindsey 003,Central Lincolnshire Vale,62.46035886786812,Partially Within,4152,38,147,81,266,0.9152215799614644,3.540462427745665,1.9508670520231215,6.40655105973025,267,6.430635838150289,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,231 Teaching and other Educational Professionals,821 Road Transport Drivers,511 Agricultural and Related Trades,279,192,173,159,147,4.1686945375873,0.9781211366901668,45.70621361076644,6.719653179190751,15.510597302504816,22.880539499036608,218.78863309833272,31,12,1,1.453125,Diverse
